Transaction_ID,Date,Customer_ID,Segment,Product_Name,Category,Quantity,Unit_Price,Revenue,Cost,Profit,Region
TXN-10001,2025-12-10,CUST-1027,Corporate,Premium Notebook A5,Office Supplies,1,11.95,11.95,4.19,7.76,West
TXN-10002,2025-08-08,CUST-1049,Corporate,High-Speed USB-C Cable,Technology,5,17.97,89.85,27.21,62.64,South
TXN-10003,2025-12-13,CUST-1070,Home Office,Filing Cabinet 3-Drawer,Furniture,10,142.8,1428.0,779.4,648.6,East
TXN-10004,2025-08-31,CUST-1030,Home Office,Sticky Notes Pastel,Office Supplies,2,7.61,15.22,3.74,11.48,North
TXN-10006,2025-04-30,CUST-1106,Corporate,Gel Pens (Pack of 12),Office Supplies,1,15.02,15.02,4.51,10.51,North
TXN-10007,2025-01-18,CUST-1086,Home Office,Sticky Notes Pastel,Office Supplies,10,8.0,80.0,20.21,59.79,West
TXN-10009,2025-12-15,CUST-1131,Corporate,Filing Cabinet 3-Drawer,Furniture,7,143.52,1004.64,561.79,442.85,South
TXN-10010,2025-09-06,CUST-1046,Consumer,Pro Laptop 15,Technology,5,1199.74,5998.7,4281.27,1717.43,North
TXN-10011,2025-02-08,CUST-1023,Consumer,Premium Notebook A5,Office Supplies,9,12.28,110.52,39.15,71.37,West
TXN-10012,2025-05-22,CUST-1118,Corporate,Pro Laptop 15,Technology,4,1149.72,4598.88,3156.21,1442.67,North
TXN-10013,2025-01-16,CUST-1104,Home Office,Executive Wooden Desk,Furniture,4,464.61,1858.44,1135.88,722.56,South
TXN-10014,2025-10-13,CUST-1100,Corporate,Executive Wooden Desk,Furniture,10,467.95,4679.5,2831.1,1848.4,West
TXN-10891,2025-10-08,CUST-1117,Home Office,Smart Bluetooth Speaker,Technology,9,80.32,722.88,355.87,367.01,West
TXN-10016,2025-10-18,CUST-1066,Home Office,Filing Cabinet 3-Drawer,Furniture,7,144.12,1008.84,556.68,452.16,West
TXN-10017,2025-07-05,CUST-1025,Consumer,Premium Notebook A5,Office Supplies,10,11.53,115.3,41.15,74.15,South
TXN-10018,2025-10-27,CUST-1149,Consumer,Standing Desk Frame,Furniture,5,286.17,1430.85,868.96,561.89,South
TXN-10019,2025-04-24,CUST-1095,Consumer,Premium Notebook A5,Office Supplies,7,11.61,81.27,28.49,52.78,North
TXN-10020,2025-07-21,CUST-1085,Consumer,Premium Notebook A5,Office Supplies,7,12.26,85.82,29.5,56.32,West
TXN-10118,2025-12-25,CUST-1096,Home Office,UltraWide Monitor 34,Technology,8,404.69,3237.52,2356.59,880.93,South
TXN-10022,2025-12-03,CUST-1114,Home Office,Pro Laptop 15,Technology,9,1199.74,10797.66,7523.81,3273.85,South
TXN-10024,2025-09-29,CUST-1104,Consumer,Filing Cabinet 3-Drawer,Furniture,10,146.29,1462.9,808.25,654.65,North
TXN-10025,2025-01-24,CUST-1056,Home Office,Pro Laptop 15,Technology,10,1248.92,12489.2,8675.0,3814.2,East
TXN-10026,2025-02-13,CUST-1032,Corporate,Executive Wooden Desk,Furniture,2,453.36,906.72,543.31,363.41,South
TXN-10027,2025-02-20,CUST-1087,Consumer,Standing Desk Frame,Furniture,3,289.49,868.47,511.88,356.59,South
TXN-10028,2025-05-20,CUST-1014,Consumer,Executive Wooden Desk,Furniture,10,450.45,4504.5,2749.55,1754.95,North
TXN-10029,2025-03-24,CUST-1126,Corporate,Premium Notebook A5,Office Supplies,4,12.25,49.0,17.19,31.81,West
TXN-10030,2025-04-24,CUST-1108,Corporate,Gel Pens (Pack of 12),Office Supplies,6,15.12,90.72,27.68,63.04,North
TXN-10031,2025-08-18,CUST-1007,Consumer,Standing Desk Frame,Furniture,5,292.2,1461.0,863.16,597.84,East
TXN-10032,2025-11-16,CUST-1026,Consumer,UltraWide Monitor 34,Technology,4,389.93,1559.72,1116.6,443.12,South
TXN-10033,2025-10-07,CUST-1047,Corporate,Premium Notebook A5,Office Supplies,6,12.07,72.42,25.1,47.32,East
TXN-10034,2025-07-18,CUST-1016,Consumer,Pro Laptop 15,Technology,5,1199.74,5998.7,4194.29,1804.41,South
TXN-10035,2025-09-18,CUST-1125,Home Office,UltraWide Monitor 34,Technology,5,395.23,1976.15,1398.13,578.02,North
TXN-10036,2025-04-21,CUST-1127,Consumer,High-Speed USB-C Cable,Technology,8,17.43,139.44,41.16,98.28,West
TXN-10037,2025-04-28,CUST-1085,Consumer,Standing Desk Frame,Furniture,8,309.89,2479.12,1465.9,1013.22,North
TXN-10038,2025-10-03,CUST-1105,Home Office,Sticky Notes Pastel,Office Supplies,3,8.34,25.02,6.2,18.82,East
