Transaction_ID,Date,Customer_ID,Segment,Product_Name,Category,Quantity,Unit_Price,Cost_Percentage,Region
TXN-10001,10/12/2025,CUST-1027,Corporate,Premium Notebook A5,off_supplies,1,,0.3506,west
TXN-10002,2025-08-08,CUST-1049,Corporate,High-Speed USB-C Cable,Technology,5,17.97,0.3028,South
TXN-10003,2025-12-13,CUST-1070,Home Office,Filing Cabinet 3-Drawer,Furniture,10,142.8,0.5458,East
TXN-10004,2025-08-31,CUST-1030,Home Office,Sticky Notes Pastel,Office Supplies,2,7.61,0.2458,NORTH
TXN-10005,INVALID_DATE,CUST-1121,Home Office,Standing Desk Frame,Furniture  ,3,310.9,0.5955,South
TXN-10006,2025-04-30,CUST-1106,Corporate,Gel Pens (Pack of 12),Office supplies,1,15.02,0.3003,North
TXN-10007,2025/01/18,CUST-1086,Home Office,Sticky Notes Pastel,off_supplies,10,,0.2526,WEST
TXN-10008,2025/05/08,CUST-1109,Consumer,Pro Laptop 15,  Technology ,,1212.47,0.6895,north
TXN-10009,2025-12-15,CUST-1131,Corporate,Filing Cabinet 3-Drawer,FURNITURE,7,143.52,0.5592,south
TXN-10010,2025-09-06,CUST-1046,Consumer,Pro Laptop 15,Technology,5,,0.7137,north
TXN-10011,2025-02-08,CUST-1023,Consumer,Premium Notebook A5,off_supplies,9,12.28,0.3542,West
TXN-10012,2025-05-22,CUST-1118,Corporate,Pro Laptop 15,TECHNOLOGY,4,1149.72,0.6863,North
TXN-10013,2025-01-16,CUST-1104,Home Office,Executive Wooden Desk,FURNITURE,4,464.61,0.6112,south
TXN-10014,2025-10-13,CUST-1100,Corporate,Executive Wooden Desk,Furniture,10,467.95,0.605,WEST
TXN-10891,08/10/2025,CUST-1117,Home Office,Smart Bluetooth Speaker,Technology,9,80.32,0.4923,West
TXN-10015,2025/11/11,CUST-1015,Corporate,Filing Cabinet 3-Drawer,FURNITURE,,0.0,0.5528,North
TXN-10016,18/10/2025,CUST-1066,Home Office,Filing Cabinet 3-Drawer,FURNITURE,7,144.12,0.5518,west
TXN-10017,2025-07-05,CUST-1025,Consumer,Premium Notebook A5,Office Supplies,10,11.53,0.3569,South
TXN-10018,2025-10-27,CUST-1149,Consumer,Standing Desk Frame,Furniture,5,286.17,0.6073,SOUTH
TXN-10019,2025/04/24,CUST-1095,Consumer,Premium Notebook A5,OFFICE SUPPLIES,7,11.61,0.3505,North
TXN-10020,2025-07-21,CUST-1085,Consumer,Premium Notebook A5,Office supplies,7,12.26,0.3438,west
TXN-10118,2025-12-25,CUST-1096,Home Office,UltraWide Monitor 34,Technology,8,404.69,0.7279,south
TXN-10021,,CUST-1032,Consumer,Sticky Notes Pastel,off_supplies,5,7.64,0.2499,south
TXN-10022,2025-12-03,CUST-1114,Home Office,Pro Laptop 15,Technology,9,,0.6968,SOUTH
TXN-10023,2025-01-15,CUST-1046,Home Office,Filing Cabinet 3-Drawer,Furniture,,142.7,0.5609,EAST
TXN-10024,2025-09-29,CUST-1104,Consumer,Filing Cabinet 3-Drawer,Furniture,10,146.29,0.5525,North
TXN-10025,2025-01-24,CUST-1056,Home Office,Pro Laptop 15,TECHNOLOGY,10,1248.92,0.6946,East
TXN-10026,2025-02-13,CUST-1032,Corporate,Executive Wooden Desk,Furniture,2,453.36,0.5992,south
TXN-10027,20/02/2025,CUST-1087,Consumer,Standing Desk Frame,Furniture  ,3,289.49,0.5894,South
TXN-10028,20/05/2025,CUST-1014,Consumer,Executive Wooden Desk,Furniture,10,0.0,0.6104,north
TXN-10029,2025-03-24,CUST-1126,Corporate,Premium Notebook A5,Office supplies,4,12.25,0.3509,West
TXN-10030,2025-04-24,CUST-1108,Corporate,Gel Pens (Pack of 12),off_supplies,6,15.12,0.3051,NORTH
TXN-10031,2025-08-18,CUST-1007,Consumer,Standing Desk Frame,Furniture,5,292.2,0.5908,EAST
TXN-10032,2025-11-16,CUST-1026,Consumer,UltraWide Monitor 34,  Technology ,4,389.93,0.7159,south
