Customer_ID,Signup_Date,Plan_Type,Billing_Cycle,Tenure_Months,Monthly_Charges,Churn_Status,Churn_Reason,LTV,Region
CUST-20001,2024-07-02,Premium,Annual,14,79.84,Yes,Customer Support,1117.76,East
CUST-20002,2024-09-29,Basic,Annual,21,14.67,Yes,Product Bug,308.07,East
CUST-20003,2025-01-09,Premium,Monthly,1,81.85,Yes,Customer Support,81.85,North
CUST-20004,2025-01-31,Premium,Monthly,23,81.3,Yes,Customer Support,1869.9,North
CUST-20005,2024-07-26,Premium,Monthly,6,81.0,Yes,Product Bug,486.0,North
CUST-20006,2024-11-23,Basic,Annual,8,15.66,No,N/A,125.28,West
CUST-20007,2025-03-26,Premium,Monthly,23,82.24,No,N/A,1891.52,West
CUST-20008,2024-02-19,Basic,Annual,15,15.63,Yes,Price,234.45,West
CUST-20009,2024-06-24,Basic,Monthly,24,15.67,Yes,Competitor,376.08,East
CUST-20010,2025-05-08,Standard,Monthly,17,37.77,No,N/A,642.09,West
CUST-20011,2024-05-24,Standard,Monthly,3,39.94,No,N/A,119.82,North
CUST-20012,2025-04-24,Basic,Monthly,11,15.43,No,N/A,169.73,South
CUST-20013,2024-11-15,Standard,Annual,22,38.08,No,N/A,837.76,South
CUST-20014,2025-05-06,Basic,Monthly,7,15.09,No,N/A,105.63,South
CUST-20015,2025-02-19,Standard,Annual,3,40.32,No,N/A,120.96,North
CUST-20016,2025-04-16,Premium,Monthly,16,76.57,Yes,Product Bug,1225.12,North
CUST-20017,2024-12-02,Standard,Annual,6,37.38,No,N/A,224.28,West
CUST-20018,2025-02-25,Standard,Monthly,24,39.11,Yes,Price,938.64,South
CUST-20019,2024-11-23,Premium,Annual,20,77.71,Yes,Price,1554.2,South
CUST-20020,2024-07-09,Standard,Monthly,22,40.51,No,N/A,891.22,South
CUST-20021,2025-04-18,Premium,Annual,11,77.89,No,N/A,856.79,South
CUST-20022,2025-03-08,Basic,Monthly,20,14.59,Yes,Competitor,291.8,South
CUST-20073,2024-01-17,Basic,Monthly,7,15.12,Yes,Product Bug,105.84,North
CUST-20024,2024-03-20,Standard,Annual,16,37.61,No,N/A,601.76,North
CUST-20025,2025-05-15,Standard,Annual,14,38.53,No,N/A,539.42,West
CUST-20026,2024-11-21,Basic,Annual,10,15.62,Yes,Competitor,156.2,North
CUST-20028,2024-04-27,Standard,Monthly,1,40.42,No,N/A,40.42,West
CUST-20029,2024-03-27,Basic,Monthly,21,14.87,Yes,Competitor,312.27,East
CUST-20030,2024-03-18,Standard,Monthly,22,37.66,No,N/A,828.52,West
CUST-20031,2024-12-28,Basic,Monthly,16,15.24,Yes,Price,243.84,South
CUST-20033,2025-04-10,Standard,Annual,18,40.07,Yes,Customer Support,721.26,South
CUST-20034,2024-09-07,Premium,Annual,2,80.3,Yes,Product Bug,160.6,West
CUST-20035,2024-07-04,Premium,Monthly,18,76.76,Yes,No_Reason,1381.68,South
CUST-20036,2024-02-09,Basic,Monthly,11,15.18,Yes,Competitor,166.98,South
CUST-20037,2024-05-06,Standard,Annual,19,40.64,No,N/A,772.16,North
CUST-20039,2024-09-23,Basic,Monthly,8,14.3,No,N/A,114.4,West
