Customer_ID,Signup_Date,Plan_Type,Billing_Cycle,Tenure_Months,Monthly_Charges,Churn_Status,Churn_Reason,Region
CUST-20001,02/07/2024,premium,Annual,14,79.84,Yes ,Customer Support,East
CUST-20002,2024-09-29,basic,Annual,21,14.67,yes,Product Bug,East
CUST-20003,2025-01-09,premium,Monthly,1,81.85,Yes,Customer Support,North
CUST-20004,2025-01-31,PREMIUM,Monthly,23,81.3,Yes,Customer Support,North
CUST-20005,26/07/2024,PREMIUM,Monthly,6,81.0,Yes ,Product Bug,North
CUST-20006,2024-11-23,Basic,Annual,8,15.66,No,N/A,West
CUST-20007,2025-03-26,Premium,Monthly,23,82.24, No,N/A,West
CUST-20008,2024-02-19,basic,Annual,15,15.63,Yes,Price,West
CUST-20009,2024-06-24,BASIC,Monthly,24,15.67,yes,Competitor,East
CUST-20010,2025-05-08,Standard  ,Monthly,17,37.77,NO,N/A,West
CUST-20011,2024-05-24,Standard,Monthly,3,39.94,No,N/A,North
CUST-20012,2025-04-24,Basic,Monthly,11,15.43,NO,N/A,South
CUST-20013,2024-11-15,STANDARD,Annual,22,38.08, No,N/A,South
CUST-20014,2025-05-06,BASIC,Monthly,7,15.09, No,N/A,South
CUST-20015,2025-02-19,STANDARD,Annual,3,40.32,NO,N/A,North
CUST-20016,2025-04-16,PREMIUM,Monthly,16,76.57,Yes,Product Bug,North
CUST-20017,2024-12-02,STANDARD,Annual,6,37.38,no,N/A,West
CUST-20018,2025-02-25,Standard,Monthly,24,39.11,YES,Price,South
CUST-20019,2024-11-23,PREMIUM,Annual,20,77.71,yes,Price,South
CUST-20020,2024-07-09,standard,Monthly,22,40.51,NO,N/A,South
CUST-20021,2025-04-18,PREMIUM,Annual,11,77.89,no,N/A,South
CUST-20022,2025-03-08,Basic,Monthly,20,14.59,Yes ,Competitor,South
CUST-20023,,basic,Monthly,13,15.56, No,N/A,North
CUST-20073,2024-01-17,basic,Monthly,7,15.12,Yes,Product Bug,North
CUST-20024,2024-03-20,standard,Annual,16,37.61,no,N/A,North
CUST-20025,2025-05-15,STANDARD,Annual,14,38.53,No,N/A,West
CUST-20026,2024-11-21,Basic,Annual,10,15.62,YES,Competitor,North
CUST-20027,INVALID_DATE,standard,Annual,14,38.27,no,N/A,West
CUST-20028,27/04/2024,Standard  ,Monthly,1,40.42,NO,N/A,West
CUST-20029,2024-03-27,Basic,,21,14.87,Yes,Competitor,East
CUST-20030,18/03/2024,Standard  ,Monthly,22,37.66,No,N/A,West
CUST-20031,2024-12-28,basic,Monthly,16,15.24,YES,Price,South
CUST-20032,,Premium,Annual,5,78.69, No,N/A,South
CUST-20033,2025-04-10,Standard  ,Annual,18,40.07,Yes,Customer Support,South
CUST-20034,07/09/2024,premium,Annual,2,80.3,Yes,Product Bug,West
CUST-20035,2024-07-04,premium,Monthly,18,76.76,Yes ,No_Reason,South
CUST-20036,2024-02-09,  Basic ,Monthly,11,15.18,Yes ,Competitor,South
CUST-20037,2024-05-06,Standard,Annual,19,40.64,NO,N/A,North
CUST-20038,2024-09-15,Premium,Monthly,-2,76.02,Yes ,Price,East
CUST-20039,23/09/2024,Basic,Monthly,8,14.3,No,N/A,West
CUST-20040,2025-02-03,BASIC,,12,15.54,NO,N/A,East
CUST-20041,2025-04-15,STANDARD,Monthly,0,38.2, No,N/A,South
CUST-20042,07/04/2025,PREMIUM,Annual,24,76.8,no,N/A,East
CUST-20043,2024-08-10,standard,Monthly,4,40.18,Yes ,Price,South
CUST-20044,19/09/2024,Standard,Annual,23,38.97, No,N/A,West
CUST-20045,2024-01-09,basic,,10,14.76,No,N/A,East
CUST-20046,2025-04-13,Premium,Monthly,12,80.38,yes,Customer Support,West
CUST-20047,2025-02-08,premium,Monthly,14,79.45, No,N/A,East
CUST-20048,,Basic,Monthly,16,14.65,No,N/A,South
CUST-20049,25/05/2024,premium,Annual,5,80.85,No,N/A,North
CUST-20050,2024-12-21,BASIC,Monthly,9,14.37,No,N/A,West
CUST-20051,2024-03-01,premium,Annual,24,80.05, No,N/A,West
CUST-20052,2024-07-01,Standard,Monthly,11,38.81,YES,Competitor,North
CUST-20053,2024-12-28,PREMIUM,Monthly,0,79.71,Yes,Price,East
CUST-20054,2025-04-11,Standard  ,Annual,3,40.28,No,N/A,West
CUST-20055,19/06/2024,Standard  ,Monthly,0,37.26, No,N/A,West
CUST-20056,2025-02-21,Premium,Annual,6,75.94,no,N/A,South
CUST-20057,2024-05-18,STANDARD,Monthly,21,37.79,YES,Product Bug,South
CUST-20058,2024-06-30,Standard  ,Monthly,22,38.34,Yes ,Product Bug,South
CUST-20059,2024-01-28,basic,Monthly,3,14.7,No,N/A,East
CUST-20060,15/11/2024,standard,Annual,,39.15,NO,N/A,North
CUST-20061,2024-05-04,Basic,,15,14.26, No,N/A,West
CUST-20062,31/03/2025,PREMIUM,Monthly,11,78.88,yes,No_Reason,West
CUST-20063,2024-04-18,basic,Monthly,23,15.34,Yes ,Customer Support,East
CUST-20064,2024-10-28,Standard  ,Monthly,14,37.65,Yes ,Product Bug,North
CUST-20065,INVALID_DATE,premium,Annual,5,76.82,Yes ,Customer Support,East
CUST-20066,2024-01-31,Basic,Monthly,5,15.37,Yes ,Price,North
CUST-20067,2024-10-30,Premium,Monthly,14,80.0,NO,N/A,East
CUST-20068,2025-03-06,Standard,Monthly,-11,40.2,yes,Product Bug,East
CUST-20069,2024-01-05,PREMIUM,Annual,24,77.46, No,N/A,East
CUST-20070,2025-02-03,Premium,Monthly,15,80.2,no,N/A,North
CUST-20071,2024-09-18,Premium,Monthly,24,78.89, No,N/A,North
CUST-20072,2024-04-20,Premium,Annual,20,75.5,NO,N/A,East
CUST-20073,2024-01-17,basic,Monthly,7,15.12,Yes,Product Bug,North
CUST-20074,2024-07-19,Premium,Annual,20,76.39, No,N/A,West
CUST-20075,2024-11-22,  Basic ,Monthly,4,15.54,Yes,Customer Support,East
CUST-20076,2025-03-30,Standard,Annual,15,40.58,No,N/A,North
CUST-21071,,Basic,Monthly,9,14.75,no,N/A,East
CUST-20077,2024-10-15,Basic,Monthly,9,14.86,NO,N/A,South
CUST-20078,2024-05-17,PREMIUM,Annual,20,75.7,no,N/A,South
CUST-20079,04/10/2024,Standard,Annual,10,38.87, No,N/A,West
CUST-20080,,Standard,Annual,16,39.21,NO,N/A,South
CUST-20081,2024-04-26,premium,Annual,9,79.83,No,N/A,North
CUST-20082,30/01/2025,STANDARD,Annual,22,40.2,yes,Price,North
CUST-20083,2024-11-06,basic,Monthly,5,14.5,yes,Competitor,South
CUST-20084,2024-05-09,basic,Monthly,6,15.36,No,N/A,West
CUST-20085,,Standard  ,Monthly,5,37.4,Yes,Price,West
CUST-20086,2024-10-05,standard,Monthly,16,39.12,No,N/A,West
CUST-20087,2024-08-25,standard,Annual,0,40.92,yes,Competitor,East
CUST-20088,2024-09-02,PREMIUM,Monthly,19,79.23,NO,N/A,North
CUST-20089,2024-05-12,Standard,Monthly,17,38.0,NO,N/A,East
CUST-20090,2024-12-31,standard,Annual,6,37.59,Yes ,Competitor,West
CUST-20091,2025-04-09,Basic,Monthly,22,15.33,Yes,Product Bug,West
CUST-20092,2024-10-10,BASIC,Monthly,24,15.01,Yes ,Competitor,East
CUST-20093,23/01/2024,BASIC,Annual,13,14.62,yes,Product Bug,East
CUST-20094,16/01/2024,Premium,Monthly,3,78.12,yes,Customer Support,West
CUST-20095,2024-03-25,STANDARD,Monthly,8,37.43,Yes ,No_Reason,West
CUST-20096,2024-12-31,premium,Annual,5,77.3,yes,Competitor,South
CUST-20097,INVALID_DATE,  Basic ,,18,14.32,YES,No_Reason,East
CUST-20098,15/01/2024,basic,,22,14.47,no,N/A,East
CUST-20099,2024-07-29,standard,Annual,14,37.05,yes,Product Bug,West
CUST-20100,19/02/2025,BASIC,Annual,0,14.98,Yes ,Customer Support,West
CUST-20101,09/03/2025,Standard,Annual,21,40.43,NO,N/A,South
CUST-20102,INVALID_DATE,BASIC,Monthly,10,14.4,Yes,Competitor,South
CUST-20103,23/12/2024,standard,Annual,13,38.78,NO,N/A,East
CUST-20104,2024-06-12,Premium,Annual,15,77.14, No,N/A,West
CUST-20105,2025-02-17,premium,Monthly,1,75.83,Yes,Customer Support,North
CUST-20106,2025-04-06,Standard,Monthly,18,37.42,no,N/A,North
CUST-20107,INVALID_DATE,  Basic ,Annual,19,14.28,NO,N/A,North
CUST-20108,2024-06-26,premium,Annual,23,76.04,no,N/A,North
CUST-20109,2024-05-24,premium,Annual,2,80.77,No,N/A,North
CUST-20110,2025-01-17,Standard,Annual,14,39.07,NO,N/A,East
CUST-20111,2024-01-20,Standard  ,Monthly,3,38.33,yes,Price,West
CUST-20112,2024-05-05,Basic,Annual,9,15.25,yes,Price,West
CUST-20113,2024-02-15,PREMIUM,Annual,12,79.8,no,N/A,South
CUST-20114,2025-05-02,basic,Annual,22,14.71,No,N/A,West
CUST-20115,2024-01-01,Premium,Annual,16,79.08, No,N/A,South
CUST-20116,2024-10-08,PREMIUM,Monthly,1,82.42,No,N/A,South
CUST-20117,2025-04-18,BASIC,Monthly,18,15.73,Yes ,No_Reason,West
CUST-20118,2024-11-28,  Basic ,Monthly,15,15.1,Yes,Price,East
CUST-20119,2024-06-15,premium,Monthly,11,75.61,yes,Product Bug,East
CUST-20120,2024-02-15,Basic,Monthly,12,14.44,No,N/A,West
CUST-20121,2024-05-06,Premium,Monthly,2,75.33,yes,Price,North
CUST-20122,2024-09-16,Standard  ,Monthly,8,40.49,no,N/A,South
CUST-20123,18/03/2025,STANDARD,Monthly,20,40.17,NO,N/A,West
CUST-20124,2025-05-12,basic,Monthly,17,14.51,yes,Price,East
CUST-20125,2024-05-25,Premium,Annual,10,75.72, No,N/A,West
CUST-20126,2024-12-12,standard,Monthly,8,40.86,NO,N/A,East
CUST-20127,2025-04-25,Basic,Monthly,15,15.27,no,N/A,East
CUST-20128,28/04/2025,Standard  ,Monthly,3,40.33,Yes,Product Bug,West
CUST-20129,09/05/2025,  Basic ,Monthly,19,14.26,yes,Competitor,South
CUST-20130,2025-01-20,premium,Monthly,19,75.85, No,N/A,South
CUST-20131,2024-09-06,premium,Annual,16,75.54, No,N/A,West
CUST-20132,2024-04-17,standard,Annual,21,40.19,No,N/A,South
CUST-20133,2024-04-15,Standard  ,Annual,3,37.34,NO,N/A,West
CUST-20134,09/12/2024,PREMIUM,Monthly,11,77.33,YES,Customer Support,South
CUST-20135,14/04/2024,BASIC,Monthly,15,14.83,No,N/A,West
CUST-20136,2024-06-17,basic,Annual,23,14.41,Yes ,No_Reason,South
CUST-20137,,PREMIUM,Monthly,10,76.08, No,N/A,North
CUST-20138,2024-01-02,premium,Annual,17,80.05, No,N/A,West
CUST-20139,2025-05-08,PREMIUM,Annual,24,81.42,Yes,Customer Support,East
CUST-20140,2024-10-26,STANDARD,Monthly,1,38.46,Yes,Product Bug,North
CUST-20141,,basic,Annual,9,14.95, No,N/A,West
CUST-20142,07/04/2024,Standard  ,Annual,20,39.39,no,N/A,East
CUST-20143,05/04/2025,STANDARD,Annual,6,38.41, No,N/A,North
CUST-20144,2025-03-23,Standard,,7,38.18,NO,N/A,South
CUST-20145,01/01/2024,premium,,7,77.38,No,N/A,North
CUST-20146,2024-05-04,Standard  ,Monthly,16,37.22,No,N/A,North
CUST-20278,10/06/2024,Basic,Monthly,1,15.35,yes,Customer Support,South
CUST-20147,2024-05-17,PREMIUM,,11,81.8,No,N/A,South
CUST-20148,2024-05-12,Basic,Monthly,21,15.35,yes,No_Reason,South
CUST-20149,INVALID_DATE,Premium,Annual,19,78.63,No,N/A,West
CUST-20150,2024-08-03,  Basic ,Monthly,12,15.24,no,N/A,South
CUST-20151,2024-05-22,Premium,Annual,14,79.0,Yes,Price,East
CUST-20152,12/05/2024,Premium,Annual,17,80.39,NO,N/A,East
CUST-20153,,Premium,Monthly,20,80.87,yes,No_Reason,South
CUST-20154,2024-09-24,STANDARD,Annual,19,40.47,No,N/A,North
CUST-20155,2024-03-21,Premium,,21,75.55,no,N/A,North
CUST-20156,2024-06-17,standard,Monthly,19,40.13,NO,N/A,North
CUST-20157,,Premium,Monthly,1,76.36,Yes ,No_Reason,East
CUST-21372,2024-06-27,premium,Monthly,17,78.99,YES,Customer Support,West
CUST-20158,,basic,Annual,17,15.75,yes,Product Bug,South
CUST-20159,2024-02-20,Premium,Annual,5,81.88,no,N/A,East
CUST-20160,2024-04-13,basic,Monthly,6,14.4,NO,N/A,West
CUST-20161,2024-07-17,BASIC,Monthly,2,14.65,Yes,Competitor,East
CUST-20162,2025-01-14,Standard  ,Annual,1,40.41,Yes,Product Bug,East
CUST-20163,2024-11-30,standard,Annual,13,38.53,no,N/A,West
CUST-20164,INVALID_DATE,premium,Annual,16,82.03, No,N/A,South
CUST-20165,INVALID_DATE,STANDARD,Annual,19,37.98, No,N/A,North
CUST-20166,2024-12-27,  Basic ,Monthly,6,15.67,Yes,Competitor,South
CUST-20167,21/01/2025,standard,Annual,8,40.88,No,N/A,South
CUST-20168,2024-05-08,Standard,Monthly,14,40.6, No,N/A,East
CUST-20169,2024-10-14,Premium,Monthly,4,75.28, No,N/A,East
CUST-20170,2025-02-16,premium,Monthly,5,75.52, No,N/A,North
CUST-20171,,basic,Annual,22,14.77,no,N/A,North
CUST-20172,2024-05-28,  Basic ,Monthly,0,15.54,NO,N/A,North
CUST-20173,2024-11-30,  Basic ,Monthly,14,15.45,YES,Price,East
CUST-20174,2025-02-23,Standard,Annual,11,39.51,no,N/A,West
CUST-20175,2024-02-26,basic,Annual,3,15.04,no,N/A,East
CUST-20176,14/01/2024,premium,,7,77.11, No,N/A,North
CUST-20177,2024-10-12,PREMIUM,Monthly,16,78.63,Yes ,Competitor,East
CUST-20178,INVALID_DATE,premium,Annual,20,76.7,no,N/A,South
CUST-20179,28/04/2024,Standard  ,Monthly,17,37.48,Yes,Price,North
CUST-20180,2024-07-13,PREMIUM,Annual,20,77.93,YES,Competitor,West
CUST-20181,11/11/2024,BASIC,Monthly,21,15.12,yes,Price,East
CUST-20182,2024-02-29,premium,Annual,18,77.3,Yes ,Product Bug,North
CUST-20183,2024-06-27,PREMIUM,Monthly,13,75.26,NO,N/A,North
CUST-20203,2024-12-26,Premium,Annual,10,76.41,YES,Product Bug,East
CUST-20184,2025-04-19,premium,Monthly,10,75.57,no,N/A,North
CUST-20185,10/02/2025,standard,Monthly,0,38.57,Yes,Product Bug,West
CUST-20186,INVALID_DATE,premium,Annual,4,82.92,no,N/A,East
CUST-20187,2024-09-01,BASIC,Monthly,16,15.38,Yes,Competitor,South
CUST-20188,2024-09-07,premium,Monthly,5,76.0,NO,N/A,South
CUST-20189,2024-04-28,PREMIUM,Monthly,1,79.97,No,N/A,East
CUST-20190,2024-10-04,STANDARD,Monthly,21,40.43,No,N/A,West
CUST-20191,2024-11-23,Premium,Monthly,22,79.44,no,N/A,East
CUST-20192,2024-08-04,STANDARD,Annual,16,37.65,No,N/A,North
CUST-20193,2024-02-03,Standard,Annual,6,37.13, No,N/A,North
CUST-20194,2025-04-02,basic,Monthly,12,14.4,YES,Customer Support,West
CUST-20195,,  Basic ,Annual,22,14.93, No,N/A,North
CUST-20196,2024-09-02,Premium,Annual,4,76.34,NO,N/A,South
CUST-20197,2025-01-26,  Basic ,Monthly,1,14.56,Yes ,Customer Support,North
CUST-20198,2024-12-29,Premium,,5,77.98,Yes,No_Reason,North
CUST-20199,2025-01-03,premium,Annual,19,77.06,YES,Competitor,North
CUST-20200,2024-06-02,Basic,Annual,2,,NO,N/A,East
CUST-20201,2024-11-07,Standard  ,Monthly,21,37.23,Yes,Competitor,West
CUST-20202,2025-03-05,BASIC,Annual,3,15.45,yes,Competitor,East
